薬品名,単位,値段
ピモベハート錠1.25,錠,20.0
*イマチニブ錠100mg「オーハラ」,錠,50.0
*セルセプトカプセル250,Cap,10.0
*タイケルブ錠250mg,錠,10.0
☆ラゲブリオカプセル200mg,Cap,25.0
MPカプセル,Cap,16.6667
MPカプセル,Cap,16.6667
MPカプセル,Cap,16.6667
MPカプセル,Cap,16.6667
MPカプセル,Cap,16.6667
MPカプセル,Cap,16.6667
アズレン点眼液0.02％「ニットー」,本,100.0
アテノロール錠25mg「トーワ」,錠,10.0
アドナ錠10mg,錠,10.0
アドナ錠30mg,錠,10.0
アトピカ100mgカプセル,Cap,33.3333
アトピカ10mgカプセル,Cap,33.3333
アトピカ25mgカプセル,Cap,33.3333
アトピカ50mgカプセル,Cap,33.3333
アトピカ内用液,本,1000.0
アドボケート 犬用,本,33.3333
アドボケート 猫用,本,33.3333
アドレスタン10mg,Cap,33.3333
アドレスタン30mg,Cap,33.3333
アドレスタン60mg,Cap,33.3333
アピナック錠12.5mg,錠,10.0
アピナック錠25mg,錠,10.0
アピナック錠6mg,錠,10.0
アポキル錠16,錠,10.0
アポキル錠3.6,錠,10.0
アポキル錠5.4,錠,10.0
アムロジピン錠5mg「TCK」,錠,2.0
アモキクリア錠100,錠,5.0
*アラバ錠10mg,錠,10.0
*アラバ錠20mg,錠,10.0
アルジオキサ錠100mg「あすか」,錠,10.0
アルダクトンA錠25mg,錠,10.0
アンブロキソール塩酸塩錠15mg「日新」,錠,1.0
イグザレルト錠10mg,錠,10.0
イソバイドシロップ70％,ml,2.0
イトラコナゾール錠50mg「日医工」,錠,10.0
イトラコナゾール錠100mg「日医工」,錠,10.0
*イムラン錠50mg,錠,10.0
インフラカム錠1.0mg,錠,10.0
ウルソデオキシコール酸錠100mg「JG」,錠,10.0
ウルソデオキシコール酸錠50mg「JG」,錠,10.0
ウルソ錠100mg,錠,10.0
ウルソ錠50mg,錠,10.0
ウロエース錠,錠,20.0
エースワーカー錠　0.5,錠,10.0
エースワーカー錠　1,錠,10.0
エクセグラン錠100mg,錠,10.0
エコリシン眼軟膏,本,100.0
エピレス錠 10mg,錠,10.0
エピレス錠 20mg,錠,10.0
エピレス錠 40mg,錠,10.0
エンロクリア錠15,錠,10.0
エンロクリア錠50,錠,10.0
オフロキサシン錠100mg「ツルハラ」,錠,2.0
オフロキサシン点眼液0.3％「杏林」,本,100.0
ガスコン錠40mg,錠,1.0
ガスター錠10mg,錠,10.0
ガチフロ点眼液0.3％,本,200.0
ガバペン錠200mg,錠,10.0
カモスタットメシル酸塩錠100mg「トーワ」,錠,10.0
ガリプラント錠　20mg,錠,33.3333
カルタン錠250,錠,10.0
クラリシッド錠200mg,錠,10.0
クラリシッド錠50mg小児用,錠,10.0
クロピドグレル錠75mg「杏林」,錠,10.0
クロピドグレル錠25mg「杏林」,錠,10.0
クロミカルム錠20mg,錠,33.3333
クロラムフェニコール点眼液0.5％「ニットー」,本,100.0
クロロマイセチン錠250,錠,10.0
ケトコナゾールクリーム2％「NR」,本,100.0
コートリル錠10mg,錠,10.0
コスパノン錠40mg,錠,10.0
コソプト配合点眼液,本,100.0
コルタバンス,本,1000.0
コンセーブ錠100mg,錠,16.6667
コンセーブ錠25mg,錠,10.0
サイトテック錠100,錠,10.0
サイトテック錠200,錠,10.0
サイトポイント10,本,500.0
サイトポイント20,本,500.0
サラゾピリン錠500mg,錠,10.0
サンピロ点眼液0.5％,本,100.0
サンピロ点眼液2％,本,100.0
ジアゾキシドカプセル25mg「OP」,Cap,25.0
ジクアス点眼液3％,本,100.0
*シクラバンス,ml,66.6667
ジクロード点眼液0.1％,本,100.0
シクロスポリンカプセル25mg「BMD」,Cap,10.0
シクロスポリンカプセル50mg「VTRS」,Cap,10.0
シルデナフィル錠50mgVI「DK」,錠,50.0
シルニジピン錠5mg「サワイ」,錠,10.0
シロスタゾール錠50mg「サワイ」,錠,10.0
スコピゾル眼科用液,本,1000.0
スパカール錠40mg,錠,10.0
スピロノラクトン錠25mg「日医工」,錠,10.0
ゼナキル錠100,錠,20.0
セファクリア錠300,錠,10.0
セファクリア錠600,錠,10.0
セファクリア錠75,錠,5.0
セレニア錠16,錠,250.0
セレニア錠24,錠,250.0
セレニア錠60,錠,250.0
ゼンタコートカプセル3mg,Cap,10.0
ゾニサミド錠100mg「アメル」,錠,10.0
ソルラクト輸液,袋,4.0
タベジール錠1mg,錠,10.0
ダラシンTゲル1％,本,100.0
タリビッド眼軟膏0.3％,本,100.0
タリビッド点眼液0.3％,本,100.0
ダンプロン,ml,50.0
チモプトール点眼液0.5％,本,100.0
チラーヂンS錠100μg,錠,10.0
チラーヂンS錠25μg,錠,10.0
チラーヂンS錠50μg,錠,1.0
チロブロック錠1.25mg,錠,10.0
チロブロック錠2.5mg,錠,10.0
ディアバスター錠,錠,10.0
テオドール錠100mg,錠,10.0
テオドール錠50mg,錠,10.0
テオフィリン徐放錠100mg「サワイ」,錠,10.0
テオフィリン徐放錠50mg「サワイ」,錠,10.0
デソパン錠60mg,錠,10.0
テリオス錠300mg,錠,10.0
デルクリアー,錠,10.0
テルミサルタン錠20mg「杏林」,錠,10.0
ドネペジル塩酸塩OD錠3mg「NP」,錠,35.7143
トブラシン点眼液0.3％,本,100.0
トラセミド錠4mg「KO」,錠,10.0
トラゾドン塩酸塩錠50mg「アメル」,錠,10.0
トラマールOD錠50mg,錠,10.0
トリロスタブ10,錠,33.3333
トリロスタブ30,錠,33.3333
トリロスタブ5,錠,33.3333
トリロスタブ60,錠,33.3333
トリロスタン錠5mg｢あすか｣,錠,10.0
トルソプト点眼液1％,本,100.0
ドロンタールプラス錠,錠,50.0
ドロンタール錠,錠,41.6667
ナビロール エプロン（袖付き）,枚,20.0
ニゾラールクリーム2％,本,50.0
ニトロール錠5mg,錠,10.0
ネオフィリン錠100mg,錠,10.0
ネオメドロールEE軟膏,本,100.0
ノボリンN注フレックスペン,筒,500.0
ノルバスク錠2.5mg,錠,10.0
バイトリル150mg錠,錠,20.0
バイトリル15mg錠,錠,10.0
バイトリル50mg錠,錠,10.0
バイトリルフレーバー15mg錠,錠,10.0
バクタ配合錠,錠,10.0
*パラディア錠10,錠,50.0
*パラディア錠15,錠,50.0
*パラディア錠50,錠,50.0
パルモディア錠0.1mg,錠,10.0
ヒアルロン酸Na関節注25mgシリンジ「NIG」,本,100.0
ヒアルロン酸ナトリウム点眼液0.3％「TS」,本,100.0
ヒアレインミニ点眼液0.1％,本,10.0
ヒアレインミニ点眼液0.3％,本,10.0
ヒアレイン点眼液0.1％,本,200.0
ヒアレイン点眼液0.3％,本,100.0
ビオイムバスター錠,錠,10.0
ビオフェルミンR散,g,2.0
ビクタスS　MTクリーム,本,200.0
ビクタスSS錠10mg,錠,10.0
ビクタスSS錠20mg,錠,10.0
ビクタスSS錠40mg,錠,10.0
ビクタスSS錠80mg,錠,16.6667
ビブラマイシン錠100mg,錠,10.0
ビブラマイシン錠50mg,錠,10.0
ピマリシン点眼液5％「センジュ」,本,1000.0
ピモベハート錠2.5,錠,20.0
ピモベハート錠5,錠,20.0
ヒューマリンN注100単位/mL,本,1000.0
ビルデンタマイシン 50,錠,20.0
ファムビル錠250mg,錠,23.8095
ファムシクロビル錠250mg「サワイ」,錠,23.8095
ファモチジン錠10mg「テバ」,錠,10.0
ファロム錠150mg,錠,10.0
ファロム錠200mg,錠,10.0
フェノバール錠30mg,錠,1.0
フェノバール散10％,ｇ,10.0
フェロ･グラデュメット錠105mg,錠,10.0
フェロミア錠50mg,錠,10.0
フオイパン錠100mg,錠,10.0
フォスブロック錠250mg,錠,10.0
フォルテコール錠5mgフレーバービーフ風味,錠,7.1429
ブドウ糖,ｇ,2.0
フラジール内服錠250mg,錠,10.0
プラビックス錠75mg,錠,10.0
ブリカニール錠2mg,錠,10.0
プリモボラン錠5mg,錠,10.0
プリンペラン錠5,錠,10.0
フルメトロン点眼液0.02％,本,100.0
フルメトロン点眼液0.1％,本,100.0
プレガバリンOD錠150mg「TCK」,錠,10.0
プレガバリンOD錠25mg「TCK」,錠,10.0
プレガバリンOD錠75mg「TCK」,錠,10.0
プレガバリンカプセル150mg「トーワ」,Cap,10.0
プレガバリンカプセル25mg「トーワ」,Cap,10.0
プレドニゾロン錠1mg「VTRS」,錠,2.0
プレドニゾロン錠2.5mg「NP」,錠,2.0
プレドニゾロン錠5mg「VTRS」,錠,2.0
プレドニン錠5mg,錠,2.0
フロセミド錠10mg「NP」,錠,10.0
フロセミド錠20mg「NP」,錠,10.0
プロナミド錠5mg,錠,10.0
プロマックD錠75,錠,10.0
フロリネフ錠0.1mg,錠,10.0
ベサコリン散5％,g,10.0
ベザフィブラートSR錠100mg「サワイ」,錠,10.0
ベストロン点眼用0.5％,本,200.0
ベナゼハート錠2.5,錠,10.0
ベナゼハート錠5,錠,10.0
ベノキシール点眼液0.4％,本,100.0
ベラフロックス60mg錠,錠,142.8571
ペリアクチンシロップ0.04％,ml,2.0
ペルサンチン錠12.5mg,錠,10.0
ベルベゾロンF点眼・点鼻液,本,100.0
ホスミシン錠250,錠,10.0
ホスミシン錠500,錠,10.0
ポララミン散1％,g,10.0
ホリゾン錠2mg,錠,10.0
ホリゾン錠5mg,錠,10.0
マイトマックス・スーパー（小型犬・猫用）,Cap,16.6667
マイトマックス・スーパー（中型・大型犬用）,Cap,16.6667
ミカルディス錠20mg,錠,7.1429
ミニプレス錠0.5mg,錠,10.0
ミノサイクリン塩酸塩錠50mg「サワイ」,錠,10.0
ミノマイシン錠50mg,錠,10.0
ミヤBM細粒,g,2.0
ミルタザピン錠15mg「トーワ」,錠,10.0
ミルベマイシンA錠10,錠,8.3333
ミルベマイシンA錠2.5,錠,8.3333
ミルベマイシンA錠5,錠,8.3333
ムコスタ点眼液UD2％,本,8.9286
メチルジゴキシン錠0.05mg｢NIG｣,錠,10.0
メトクロプラミド錠5mg「ツルハラ」,錠,1.0
メドロール錠4mg,錠,10.0
メバロチン錠10,錠,10.0
メプチンミニ錠25μg,錠,10.0
メルカゾール錠5mg,錠,2.0
モサプリドクエン酸塩錠5mg「日新」,錠,10.0
モビコール配合内用剤LD,包,10.0
モメタオティック,本,1000.0
ユベラNカプセル100mg,Cap,10.0
ラシックス錠10mg,錠,10.0
ラシックス錠20mg,錠,10.0
ラシックス錠40mg,錠,10.0
ラプロス,錠,10.0
ラリキシンドライシロップ小児用20％,g,10.0
ラリキシン錠250mg,錠,10.0
リコンサイル錠8mg,錠,33.3333
リコンサイル錠32mg,錠,33.3333
リパクレオン顆粒300mg分包,包,8.3333
リフキシマ錠200mg,錠,10.0
リリカOD錠25mg,錠,10.0
リリカカプセル 150mg,Cap,10.0
リリカカプセル75mg,Cap,10.0
ルプラック錠4mg,錠,10.0
ルプラック錠8mg,錠,10.0
レスキュラ点眼液0.12％,本,100.0
レダコート錠4mg,錠,10.0
レノ専用分包紙グラシン,巻,250.0
レベチラセタム錠　250mg「アメル」,錠,10.0
レベチラセタム錠250mg「トーワ」,錠,10.0
レベチラセタム粒状錠250mg「サワイ」,包,16.6667
レベミル注ペンフィル,筒,500.0
レボフロキサシン錠250mg「陽進」,錠,10.0
レボフロキサシン点眼液1.5%「ニットー」,本,100.0
レメロン錠15mg,錠,10.0
ロキソニン錠60mg,錠,10.0
ロキソプロフェンNa錠60mg「トーワ」,錠,10.0
ワンアルファ錠0.25μg,錠,10.0
臭化カリウム「ヤマゼン」,ｇ,10.0
人工涙液マイティア点眼液,本,20.0
精製水,ml,2.0
単シロップ,ml,2.0
炭酸ランタンOD錠250mg「イセイ」,錠,10.0
動物用ウェルメイトL3,本,200.0
動物用ウェルメイト錠100,錠,20.0
動物用ビオスリー,g,10.0
日点アトロピン点眼液1％,本,100.0
ミニプレス錠1mg,錠,10.0
ベラプロストNa錠20μg「サワイ」,錠,10.0
トリロスタン錠2.5mg｢あすか｣,錠,10.0
dsピモハート錠0.625mg,錠,10.0
dsピモハート錠1.25mg,錠,10.0
ゲンタマイシン硫酸塩注射液60mg「F」,本,100.0
ビソルボン吸入液0.2％,ml,22.2222
ボスミン外用液0.1％,ml,10.0
ミニスパイクプラス,個,20.0
動物用ﾃﾞｨｽﾎﾟｼﾘﾝｼﾞ(ﾆﾌﾟﾛ),本,10.0
動物用ディスポシリンジ（トップ）,本,10.0
イーケプラ錠250mg,錠,10.0
タチオン散20％,g,10.0
タウリン散98％「大正」,包,11.1111
グリチロン配合錠,錠,2.0
ジアゼパム錠10mg「ツルハラ」,錠,1.0
ジアゼパム錠5mg「ツルハラ」,錠,1.0
サイリウム,g,3.3333
ツムラ六君子湯(リックンシトウ)エキス顆粒(医療用),g,9.5238
セタプリル錠25mg,錠,10.0
ミノサイクリン塩酸塩錠100mg「トーワ」,錠,10.0
